Key,Vietnamese,English
MapBoss1.NPCTutorial1,"Chào cậu, Ta là người bị giam giữ lâu nhất ở lâu đài này","Hello there, I am the longest-held prisoner in this castle"
MapBoss1.NPCTutorial2,Ta có thể giúp ích được cho cậu đấy,I can help you
MapBoss1.NPCTutorial3,Đầu tiên hãy chọn vũ khí mà cậu nhặt được từ bản đồ trước đó,"First, choose the weapon you picked up from the map earlier"
MapBoss1.NPCTutorial4,Nhìn bên góc phải màn hình có ô vuông hãy nhấn vào và chọn Kiếm,"Look at the square in the top right corner of the screen, click on it and select the Sword"
MapBoss1.NPCTutorial5,Dùng nó để tiêu diệt những tên quái vật và lấy kinh nghiệm,Use it to defeat the monsters and gain experience
MapBoss1.NPCTutorial6,Khi lên cấp cậu hãy cẩn trọng nâng cấp các kỹ năng cần thiết,"When you level up, be careful to upgrade the necessary skills"
MapBoss1.NPCTutorial7,"Hãy tiến lên phía trước, cố lên nhé","Move forward, and good luck!"
,,
MapBoss1.NPC.1.1,Hãy giữ lượng máu ổn định để có thể vượt qua các thử thách,Keep your health stable to overcome the challenges
MapBoss1.NPC.1.2,Cậu là niềm tin của chúng tôi đấy,You are our hope
MapBoss1.NPC.1.3,Cố lên nhé!,Good luck!
,,
MapBoss1.NPC.2.1,Hừm lại là một người bị lừa vào đây nộp mạng à???,"Hmm, another person tricked into coming here to die, huh???"
MapBoss1.NPC.2.2,Người không sống nổi lâu đâu,You won't survive long
MapBoss1.NPC.2.3,Và bị giam giữ như ta thôi haha,"And you'll be imprisoned like me, haha."
,,
MapBoss1.Kha1,Ơ ơ ơ... đây không phải là khu rừng à??? ,Uh uh uh... isn't this the forest???
