Key,Vietnamese,English
Banh1,"Ngươi là ai, tại sao đến được đây???","Who are you, and how did you get here???"
Kha1,"Ơ ơ ơ, tôi là Khá, đây là đâu???","Uh uh uh, I am Khá, where is this place???"
Banh2,"Đây à, à à đây là nơi kỳ diệu, người muốn gì cũng có!","This place, oh oh this is a magical place, anything you want is here!"
Kha2,"Tôi muốn gặp lại gia đình mình, họ đã mất trong một vụ tai nạn giao thông","I want to see my family again, they died in a traffic accident"
Kha3,"Tôi biết đây là một điều không thể, nhưng...","I know this is impossible, but..."
Banh3,"Sao lại không thể, ngươi đi đúng nơi rồi, nhìn phía xa kia đi ","Why is it impossible, you have come to the right place, look over there"
Banh4,Nơi đó là nơi ngươi cần đến ,That is the place you need to go
Kha4,"Thật không, dù sao đây cũng là điều tôi mong muốn nhất, cảm ơn người","Really, anyway, this is what I desire the most, thank you"
Banh5,"Không có gì, bản thân ta rất thích giúp đỡ người khác","You're welcome, I love helping others"
Banh6,"""HaHa tên ngốc, vào đây nạp mạng thì ta lại có thêm nhiều lộc lá","""HaHa, fool, coming here to die means I will gain more blessings"
Banh7," từ Quỷ Vương"" -Bảnh nói thầm."," from the Demon King"" -Bảnh whispered."
